44,최종병기 활,2011-08-10,"55,827,861,500","7,470,633",615,"130,055",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
45,트랜스포머: 패자의 역습,2009-06-24,"50,699,866,000","7,393,443","1,154","115,150",미국,미국,CJ ENM
46,써니,2011-05-04,"54,038,534,700","7,363,139",546,"149,154",한국,한국,(주)씨제이이엔엠
47,스파이더맨: 홈 커밍,2017-07-05,"59,125,813,820","7,258,678","1,965","164,448",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
48,1987,2017-12-27,"58,170,216,145","7,232,452","1,299","138,231",한국,한국,(주)씨제이이엔엠
49,베를린,2013-01-30,"52,358,372,637","7,166,688",894,"111,760",한국,"한국,독일",(주)씨제이이엔엠
50,마스터,2016-12-21,"58,068,236,865","7,150,586","1,501","126,927",한국,한국,(주)씨제이이엔엠
51,터널,2016-08-10,"57,530,028,417","7,120,780","1,105","113,214",한국,한국,(주)쇼박스
52,내부자들,2015-11-19,"56,605,193,557","7,073,581","1,129","152,783",한국,한국,(주)쇼박스
53,인천상륙작전,2016-07-27,"55,112,241,303","7,051,237","1,049","97,035",한국,한국,(주)씨제이이엔엠
54,럭키,2016-10-13,"56,445,323,256","6,975,631","1,234","155,991",한국,한국,(주)쇼박스
55,은밀하게 위대하게,2013-06-05,"48,700,887,413","6,959,083","1,341","117,462",한국,한국,(주)쇼박스
56,범죄도시,2017-10-03,"56,322,153,349","6,880,546","1,315","149,389",한국,한국,"메가박스중앙(주)플러스엠,(주)키위미디어그룹"
57,곡성,2016-05-12,"55,864,308,382","6,879,989","1,485","130,332",한국,"한국,미국",이십세기폭스코리아(주)
58,화려한 휴가,2007-07-25,"44,098,824,600","6,855,433",551,"96,536",한국,한국,CJ ENM
59,"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,"43,755,980,300","6,686,075",824,"93,589",한국,한국,CJ ENM
60,늑대소년,2012-10-31,"46,596,361,400","6,655,294",854,"109,261",한국,한국,(주)씨제이이엔엠
61,군함도,2017-07-26,"50,510,565,168","6,592,151","2,027","108,775",한국,한국,(주)씨제이이엔엠
62,웰컴 투 동막골,2005-08-04,"40,329,355,500","6,436,900",356,"72,129",한국,한국,(주)쇼박스
63,다크 나이트 라이즈,2012-07-19,"47,910,613,000","6,428,574","1,210","84,755",미국,"미국,영국",워너브러더스 코리아(주)
64,사도,2015-09-16,"48,846,723,501","6,247,745","1,210","124,276",한국,한국,(주)쇼박스
65,아저씨,2010-08-04,"47,110,894,000","6,179,525",501,"110,109",한국,한국,CJ ENM
